id,separationtype,cease_date,dete_start_date,role_start_date,position,classification,region,business_unit,employment_status,career_move_to_public_sector,career_move_to_private_sector,interpersonal_conflicts,job_dissatisfaction,dissatisfaction_with_the_department,physical_work_environment,lack_of_recognition,lack_of_job_security,work_location,employment_conditions,maternity/family,relocation,study/travel,ill_health,traumatic_incident,work_life_balance,workload,none_of_the_above,gender,age,aboriginal,torres_strait,south_sea,disability,nesb,cease_year,institute_service,institute
505,Resignation-Move overseas/interstate,2013,2008.0,2011.0,Teacher,Secondary,South East,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,36-40,,,,,,2013.0,15705 days 23:59:59.999997992,DETE
506,Resignation-Other reasons,2013,1989.0,,Teacher,Special Education,,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,Female,46-50,,,,,,2013.0,15705 days 23:59:59.999998011,DETE
507,Resignation-Other reasons,2013,2009.0,2010.0,Public Servant,A01-A04,North Coast,,Permanent Full-time,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,21-25,,,,,,2013.0,15705 days 23:59:59.999997991,DETE
518,Resignation-Move overseas/interstate,2010,2007.0,2007.0,Teacher Aide,,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,31-35,,,,,,2010.0,14609 days 23:59:59.999997993,DETE
532,Resignation-Other reasons,2013,,,Cleaner,,Central Office,Education Queensland,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,Female,56-60,,,,,,2013.0,,DETE
534,Resignation-Move overseas/interstate,2013,1999.0,2012.0,Public Servant,AO8 and Above,Central Office,Indigenous Education and Training Futures,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,36-40,Yes,,Yes,,,2013.0,15705 days 23:59:59.999998001,DETE
535,Resignation-Other reasons,2012,2008.0,2008.0,Cleaner,,North Coast,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,56-60,,,,Yes,Yes,2012.0,15339 days 23:59:59.999997992,DETE
537,Resignation-Other reasons,2013,2007.0,2012.0,Teacher Aide,,Metropolitan,Education Queensland,Permanent Full-time,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,Female,46-50,,,,,,2013.0,15705 days 23:59:59.999997993,DETE
539,Resignation-Other reasons,2013,,,Teacher,Primary,Darling Downs South West,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,26-30,,,,,,2013.0,,DETE
540,Resignation-Other reasons,2013,2007.0,2009.0,Public Servant,A01-A04,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,51-55,,,,,,2013.0,15705 days 23:59:59.999997993,DETE
542,Resignation-Other reasons,2013,1996.0,2012.0,Public Servant,A01-A04,South East,,Permanent Part-time,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,Female,41-45,,,,,,2013.0,15705 days 23:59:59.999998004,DETE
544,Resignation-Other employer,2013,2011.0,2011.0,Professional Officer,PO1-PO4,South East,,Permanent Full-time,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,21-25,,,,,,2013.0,15705 days 23:59:59.999997989,DETE
548,Resignation-Other employer,2013,2010.0,2012.0,Teacher Aide,,Metropolitan,,Permanent Full-time,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,,,,,,2013.0,15705 days 23:59:59.999997990,DETE
551,Resignation-Other reasons,2013,2000.0,2005.0,Teacher,Primary,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Male,36-40,,,,,,2013.0,15705 days 23:59:59.999998,DETE
552,Resignation-Move overseas/interstate,2013,2011.0,2011.0,Schools Officer,,Central Office,Education Queensland,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Male,41-45,,,,,,2013.0,15705 days 23:59:59.999997989,DETE
553,Resignation-Other reasons,2013,2005.0,2013.0,Teacher,Special Education,Central Queensland,,Permanent Part-time,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,56-60,,,,,,2013.0,15705 days 23:59:59.999997995,DETE
558,Resignation-Move overseas/interstate,07/2013,2011.0,2011.0,Teacher,Middle,North Queensland,,Permanent Full-time,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,Female,21-25,,,,,,2013.0,15886 days 23:59:59.999997989,DETE
563,Resignation-Move overseas/interstate,06/2013,2012.0,2012.0,Cleaner,,Central Office,Education Queensland,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,,,,,,2013.0,15856 days 23:59:59.999997988,DETE
564,Resignation-Other reasons,06/2013,1990.0,2011.0,Teacher,Secondary,North Queensland,,Permanent Full-time,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,Female,41-45,,,,,,2013.0,15856 days 23:59:59.999998010,DETE
569,Resignation-Other reasons,06/2013,2000.0,,Teacher Aide,,Central Office,Education Queensland,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,Female,46-50,,,,,,2013.0,15856 days 23:59:59.999998,DETE
570,Resignation-Other reasons,07/2013,2010.0,2010.0,Schools Officer,,North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,31-35,,,,,,2013.0,15886 days 23:59:59.999997990,DETE
572,Resignation-Other reasons,07/2013,1998.0,2008.0,Business Service Manager,,Darling Downs South West,,Permanent Full-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,,,,,,2013.0,15886 days 23:59:59.999998002,DETE
576,Resignation-Other reasons,07/2013,2004.0,2005.0,Public Servant,AO5-AO7,Central Office,Education Queensland,Permanent Full-time,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,Female,31-35,,,,,,2013.0,15886 days 23:59:59.999997996,DETE
577,Resignation-Other reasons,06/2013,2004.0,,Teacher Aide,,,,Permanent Part-time,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,Female,26-30,,,,,,2013.0,15856 days 23:59:59.999997996,DETE
578,Resignation-Other employer,09/2013,1994.0,1998.0,Teacher,Primary,North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,36-40,,,,,,2013.0,15948 days 23:59:59.999998006,DETE
